Index,Title,Model,Price,Distance,Fuel Type,Engine,Transmission Type,City
117,Suzuki Cultus  2010 VXRi for Sale,2010,PKR 11.5 lacs,"31,450 km",Petrol,1000 cc,Manual,Lahore
118,MG HS  2021 Trophy for Sale,2021,PKR 65.5 lacs,"22,000 km",Petrol,1500 cc,Automatic,Lahore
119,Nissan Dayz  2023 Highway star G for Sale,2023,PKR 46.5 lacs,"1,660 km",Hybrid,660 cc,Automatic,Lahore
120,Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,2018,PKR 33.5 lacs,"141,000 km",Petrol,1300 cc,Manual,Lahore
121,Honda Civic  2016 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2016,PKR 46.5 lacs,"135,000 km",Petrol,1800 cc,Automatic,Lahore
122,Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2014,PKR 38.5 lacs,"127,500 km",Petrol,1800 cc,Automatic,Lahore
123,Honda BR-V  2017 i-VTEC for Sale,2017,PKR 41 lacs,"76,000 km",Petrol,1500 cc,Automatic,Lahore
124,Toyota Fortuner  2024 2.7 V for Sale,2024,PKR 1.83 crore,"1,300 km",Petrol,2700 cc,Automatic,Lahore
125,Honda City 5th (GM2) Generation 2016 Aspire Prosmatec 1.3 i-VTEC for Sale,2016,PKR 35.75 lacs,"82,000 km",Petrol,1300 cc,Automatic,Lahore
126,Toyota Corolla  2020 Altis Grande CVT-i 1.8 for Sale,2020,PKR 59 lacs,"55,000 km",Petrol,1800 cc,Automatic,Lahore
127,Mitsubishi Pajero Mini  1996 XR for Sale,1996,PKR 11.5 lacs,"200,000 km",Petrol,660 cc,Automatic,Lahore
128,Honda Vezel  2015 Hybrid X for Sale,2015,PKR 47 lacs,"138,000 km",Hybrid,1500 cc,Automatic,Lahore
129,Toyota Yaris  2021 GLI CVT 1.3 for Sale,2021,PKR 37.99 lacs,"49,500 km",Petrol,1300 cc,Automatic,Lahore
130,Honda N One  2014 Premium for Sale,2014,PKR 24.2 lacs,"123,455 km",Petrol,660 cc,Automatic,Lahore
131,Suzuki Cultus  2005 VXR for Sale,2005,PKR 8.25 lacs,"55,000 km",Petrol,1000 cc,Manual,Lahore
132,Toyota Vitz  2010 B 1.0 for Sale,2010,PKR 23.5 lacs,"102,000 km",Petrol,1000 cc,Automatic,Lahore
133,Hyundai Santro  2005 Club GV for Sale,2005,PKR 16.25 lacs,"98,000 km",Petrol,1100 cc,Manual,Lahore
134,Suzuki Wagon R  2023  for Sale,2023,PKR 38.75 lacs,"7,000 km",Hybrid,660 cc,Automatic,Lahore
135,Suzuki Wagon R  2023 VXR for Sale,2023,PKR 27.75 lacs,"19,473 km",Petrol,1000 cc,Manual,Lahore
136,Nissan Otti  2016  for Sale,2016,PKR 18 lacs,"125,000 km",Petrol,660 cc,Automatic,Lahore
137,Honda City  2008 i-DSI Vario for Sale,2008,PKR 21.5 lacs,"350,000 km",Petrol,1300 cc,Automatic,Lahore
138,Honda Civic  2012 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2012,PKR 27.5 lacs,"145,250 km",Petrol,1800 cc,Automatic,Lahore
139,Toyota C-HR  2019 G-LED for Sale,2019,PKR 88.75 lacs,"62,000 km",Hybrid,1800 cc,Automatic,Lahore
140,Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,2021,PKR 64 lacs,"14,700 km",Petrol,1800 cc,Automatic,Lahore
141,Suzuki Mehran  2013 VXR Euro II for Sale,2013,PKR 11.25 lacs,"32,000 km",Petrol,796 cc,Manual,Lahore
142,Suzuki Mehran  2007 VX for Sale,2007,PKR 8.65 lacs,"232,000 km",Petrol,800 cc,Manual,Lahore
143,Toyota Yaris  2022 ATIV X CVT 1.5 for Sale,2022,PKR 49 lacs,"43,000 km",Petrol,1500 cc,Automatic,Lahore
144,Toyota Yaris  2021  for Sale,2021,PKR 45.95 lacs,"41,949 km",Petrol,1000 cc,Automatic,Lahore
145,Toyota Yaris  2021 GLI CVT 1.3 for Sale,2021,PKR 40.5 lacs,"47,000 km",Petrol,1300 cc,Automatic,Lahore
146,Toyota C-HR  2019 G-LED for Sale,2019,PKR 87.5 lacs,"31,780 km",Hybrid,1800 cc,Automatic,Lahore
147,Toyota Vitz  2007 F 1.0 for Sale,2007,PKR 20.75 lacs,91 km,Petrol,1000 cc,Automatic,Lahore
148,Suzuki Wagon R  2021 VXR for Sale,2021,PKR 25.4 lacs,"41,000 km",Petrol,1000 cc,Manual,Lahore
149,Suzuki Wagon R  2019 VXL for Sale,2019,PKR 23.5 lacs,"80,900 km",Petrol,1000 cc,Manual,Lahore
150,MG HS  2021 Trophy for Sale,2021,PKR 63.2 lacs,"30,776 km",Petrol,1500 cc,Automatic,Lahore
151,Toyota Fortuner  2020 2.7 VVTi for Sale,2020,PKR 1.29 crore,"37,000 km",Petrol,2700 cc,Automatic,Lahore
152,Toyota Aqua  2018 S for Sale,2018,PKR 55 lacs,"73,570 km",Hybrid,1500 cc,Automatic,Lahore
153,Hummer H2  2007 SUT for Sale,2007,PKR 2.2 crore,"25,000 km",Petrol,6200 cc,Automatic,Lahore
154,Toyota Corolla  2020 Altis Automatic 1.6 for Sale,2020,PKR 51.65 lacs,"62,300 km",Petrol,1600 cc,Automatic,Lahore
155,Toyota Corolla  2014 XLi VVTi for Sale,2014,PKR 25.75 lacs,"150,000 km",Petrol,1300 cc,Manual,Lahore
156,Toyota Hilux  2021 Revo G Automatic 2.8 for Sale,2021,PKR 1.13 crore,"76,000 km",Diesel,2800 cc,Automatic,Lahore
157,KIA Sportage  2020 FWD for Sale,2020,PKR 63.5 lacs,"38,000 km",Petrol,2000 cc,Automatic,Lahore
158,Honda Civic  2017 Oriel 1.8 i-VTEC CVT for Sale,2017,PKR 48 lacs,"80,000 km",Petrol,1800 cc,Automatic,Lahore
159,Honda Civic  2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2014,PKR 33.8 lacs,"125,000 km",Petrol,1800 cc,Automatic,Lahore
160,Toyota Corolla  2012 XLi VVTi for Sale,2012,PKR 27.5 lacs,"98,000 km",Petrol,1300 cc,Manual,Lahore
161,Toyota Land Cruiser  2008  for Sale,2008,PKR 2.75 crore,"206,000 km",Diesel,4500 cc,Automatic,Lahore
162,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC for Sale,2013,PKR 27.5 lacs,"117,000 km",Petrol,1300 cc,Manual,Lahore
163,Daihatsu Mira  2023 L for Sale,2023,PKR 35 lacs,670 km,Petrol,660 cc,Automatic,Lahore
164,Daihatsu Rocky  2020  for Sale,2020,PKR 58 lacs,"35,000 km",Petrol,1000 cc,Automatic,Lahore
165,Toyota Corolla  2017 GLi Automatic 1.3 VVTi for Sale,2017,PKR 42.7 lacs,"89,000 km",Petrol,1300 cc,Automatic,Lahore
166,Honda Civic  2002 VTi Oriel Prosmatec 1.6 for Sale,2002,PKR 14.75 lacs,"355,000 km",Petrol,1600 cc,Automatic,Lahore
167,Toyota Hilux  2019 Revo V Automatic 2.8 for Sale,2019,PKR 1.12 crore,"132,000 km",Diesel,2800 cc,Automatic,Lahore
168,Daihatsu Mira  2023 X for Sale,2023,PKR 34.75 lacs,"13,000 km",Petrol,660 cc,Automatic,Lahore
169,Toyota Corolla  2019 Altis Automatic 1.6 for Sale,2019,PKR 57 lacs,"8,000 km",Petrol,1600 cc,Automatic,Lahore
170,Toyota Hilux  2003 Double Cab for Sale,2003,PKR 27.5 lacs,"265,800 km",Petrol,3000 cc,Manual,Lahore
171,Daihatsu Mira  2013 ES for Sale,2013,PKR 22.5 lacs,"94,000 km",Petrol,660 cc,Automatic,Lahore
172,Toyota Yaris  2020 ATIV CVT 1.3 for Sale,2020,PKR 40.5 lacs,"115,000 km",Petrol,1300 cc,Automatic,Lahore
173,Honda Civic Rebirth 2015 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,2015,PKR 40 lacs,"100,000 km",Petrol,1800 cc,Automatic,Lahore
174,KIA Picanto  2021 1.0 AT for Sale,2021,PKR 29.7 lacs,"43,500 km",Petrol,1000 cc,Automatic,Lahore
